External_Id__c,FinServ__Active__c,FinServ__FromField__c,FinServ__FromObject__c,FinServ__FromRecordType__c,FinServ__LookupField__c,FinServ__Namespace__c,FinServ__RollupOperation__c,FinServ__ToField__c,FinServ__ToObject__c,FinServ__UpdateOnChange__c,FinServ__WhereClause__c,Id,Name
a0UD300000PF4WzMAL,true,Balance__c,FinancialAccount__c,Commitment,Fund__c,Industries,Sum,Balance__c,FinancialAccount__c,Balance__c,1,a0UD300000PF4WzMAL,Custom - Rollup Balance from Commitments to Fund
a0UD300000PF4UwMAL,true,FinancialAccount__r.Balance__c,FinancialAccountRole__c,,RelatedAccount__c,Industries,Sum,TotalBankDepositsJointOwner__c,Account,,1 AND 2,a0UD300000PF4UwMAL,RBLForFARForTotalBankDepositsJointOwner
a0UD300000PF4UxMAL,true,FinancialAccount__r.Balance__c,FinancialAccountRole__c,,RelatedAccount__c,Industries,Sum,TotalBankDepositsPrimaryOwner__c,Account,,1 AND 2,a0UD300000PF4UxMAL,RBLForFARForTotalBankDepositsPrimaryOwner
a0UD300000PF4UyMAL,true,FinancialAccount__r.Balance__c,FinancialAccountRole__c,,RelatedAccount__c,Industries,Sum,TotalHeldFinAcctsJointOwner__c,Account,FinancialAccount__r.HeldAway__c,1 AND 2,a0UD300000PF4UyMAL,RBLForFARForFinAcctsClientHeldJointOwner
a0UD300000PF4UzMAL,true,FinancialAccount__r.Balance__c,FinancialAccountRole__c,,RelatedAccount__c,Industries,Sum,TotalHeldFinAcctsPrimaryOwner__c,Account,FinancialAccount__r.HeldAway__c,1 AND 2,a0UD300000PF4UzMAL,RBLForFARForFinAcctsClientHeldPrimaryOwner
a0UD300000PF4V0MAL,true,FinancialAccount__r.Balance__c,FinancialAccountRole__c,,RelatedAccount__c,Industries,Sum,TotalFinAcctsJointOwner__c,Account,,1,a0UD300000PF4V0MAL,RBLForFARForFinAcctsClientJointOwner
a0UD300000PF4V1MAL,true,FinancialAccount__r.Balance__c,FinancialAccountRole__c,,RelatedAccount__c,Industries,Sum,TotalFinAcctsPrimaryOwner__c,Account,,1,a0UD300000PF4V1MAL,RBLForFARForFinAcctsClientPrimaryOwner
a0UD300000PF4V2MAL,true,FinancialAccount__r.InsuredAmount__c,FinancialAccountRole__c,,RelatedAccount__c,Industries,Sum,TotalInsuranceJointOwner__c,Account,,1 AND 2,a0UD300000PF4V2MAL,RBLForFARForInsuranceClientJointOwner
a0UD300000PF4V3MAL,true,FinancialAccount__r.InsuredAmount__c,FinancialAccountRole__c,,RelatedAccount__c,Industries,Sum,TotalInsurancePrimaryOwner__c,Account,,1 AND 2,a0UD300000PF4V3MAL,RBLForFARForInsuranceClientPrimaryOwner
a0UD300000PF4V4MAL,true,FinancialAccount__r.Balance__c,FinancialAccountRole__c,,RelatedAccount__c,Industries,Sum,TotalInvestmentsJointOwner__c,Account,,1 AND 2,a0UD300000PF4V4MAL,RBLForFARForInvestmentsClientJointOwner
a0UD300000PF4V5MAL,true,FinancialAccount__r.Balance__c,FinancialAccountRole__c,,RelatedAccount__c,Industries,Sum,TotalInvestmentsPrimaryOwner__c,Account,,1 AND 2,a0UD300000PF4V5MAL,RBLForFARForInvestmentsClientPrimaryOwner
a0UD300000PF4V6MAL,true,FinancialAccount__r.Balance__c,FinancialAccountRole__c,,RelatedAccount__c,Industries,Sum,TotalAUMJointOwner__c,Account,"FinancialAccount__r.Managed__c, FinancialAccount__r.Balance__c",1 AND 2 AND 3,a0UD300000PF4V6MAL,RBLForFARforAUMClientJointOwner
a0UD300000PF4V7MAL,true,FinancialAccount__r.Balance__c,FinancialAccountRole__c,,RelatedAccount__c,Industries,Sum,TotalAUMPrimaryOwner__c,Account,"FinancialAccount__r.Managed__c, FinancialAccount__r.Balance__c",1 AND 2 AND 3,a0UD300000PF4V7MAL,RBLForFARforAUMClientPrimaryOwner
a0UD300000PF4VAMA1,true,Balance__c,FinancialAccount__c,,Household__c,Industries,Sum,TotalBankDepositsPrimaryOwner__c,Account,,1,a0UD300000PF4VAMA1,RBLForBankingHH
a0UD300000PF4VFMA1,true,Balance__c,FinancialAccount__c,,Household__c,Industries,Sum,TotalHeldFinAcctsPrimaryOwner__c,Account,HeldAway__c,1,a0UD300000PF4VFMA1,RBLForFinAcctsHHHeld
a0UD300000PF4VGMA1,true,Balance__c,FinancialAccount__c,,Household__c,Industries,Sum,TotalFinAcctsPrimaryOwner__c,Account,,,a0UD300000PF4VGMA1,RBLForFinAcctsHHTotal
a0UD300000PF4VJMA1,true,InsuredAmount__c,FinancialAccount__c,InsurancePolicy,Household__c,Industries,Sum,TotalInsurancePrimaryOwner__c,Account,,,a0UD300000PF4VJMA1,RBLForInsuranceHH
a0UD300000PF4VMMA1,true,Balance__c,FinancialAccount__c,InvestmentAccount,Household__c,Industries,Sum,TotalInvestmentsPrimaryOwner__c,Account,,,a0UD300000PF4VMMA1,RBLForInvestmentsHH
a0UD300000PF4VNMA1,true,Amount__c,AssetsAndLiabilities__c,Liability,JointOwner__c,Industries,Sum,TotalLiabilitiesJointOwner__c,Account,,,a0UD300000PF4VNMA1,RBLForLiabilitiesClientJointOwner
a0UD300000PF4VOMA1,true,Amount__c,AssetsAndLiabilities__c,Liability,PrimaryOwner__c,Industries,Sum,TotalLiabilitiesPrimaryOwner__c,Account,,,a0UD300000PF4VOMA1,RBLForLiabilitiesClientPrimaryOwner
a0UD300000PF4VPMA1,true,Amount__c,AssetsAndLiabilities__c,Liability,Household__c,Industries,Sum,TotalLiabilitiesPrimaryOwner__c,Account,,,a0UD300000PF4VPMA1,RBLForLiabilitiesHH
a0UD300000PF4VQMA1,true,Amount__c,AssetsAndLiabilities__c,NonfinancialAsset,JointOwner__c,Industries,Sum,TotalNonfinancialAssetsJointOwner__c,Account,,,a0UD300000PF4VQMA1,RBLForNonfinAssetsClientJointOwner
a0UD300000PF4VRMA1,true,Amount__c,AssetsAndLiabilities__c,NonfinancialAsset,PrimaryOwner__c,Industries,Sum,TotalNonfinancialAssetsPrimaryOwner__c,Account,,,a0UD300000PF4VRMA1,RBLForNonfinAssetsClientPrimaryOwner
a0UD300000PF4VSMA1,true,Amount__c,AssetsAndLiabilities__c,NonfinancialAsset,Household__c,Industries,Sum,TotalNonfinancialAssetsPrimaryOwner__c,Account,,,a0UD300000PF4VSMA1,RBLForNonfinAssetsHH
a0UD300000PF4VUMA1,true,Balance__c,FinancialAccount__c,InvestmentAccount,Household__c,Industries,Sum,TotalAUMPrimaryOwner__c,Account,"Managed__c, Balance__c",1,a0UD300000PF4VUMA1,RBLforAUMHH
