External_Id__c,FinServ__FieldName__c,FinServ__FieldValue__c,FinServ__Operator__c,FinServ__RollupByLookupConfig__c,FinServ__RollupByLookupConfig__r.External_Id__c,Id,Name
a0VD300000L2vXgMAJ,FinServ__Status__c,Open,equals,a0UD300000PF4WzMAL,a0UD300000PF4WzMAL,a0VD300000L2vXgMAJ,A-47
a0VD300000L2vKZMAZ,FinancialAccount__r.RecordType,"BankingAccount,CheckingAccount,SavingsAccount",IN,a0UD300000PF4UwMAL,a0UD300000PF4UwMAL,a0VD300000L2vKZMAZ,A-14
a0VD300000L2vKaMAJ,Role__c,Joint Owner,equals,a0UD300000PF4UwMAL,a0UD300000PF4UwMAL,a0VD300000L2vKaMAJ,A-15
a0VD300000L2vKbMAJ,FinancialAccount__r.RecordType,"BankingAccount,CheckingAccount,SavingsAccount",IN,a0UD300000PF4UxMAL,a0UD300000PF4UxMAL,a0VD300000L2vKbMAJ,A-16
a0VD300000L2vKcMAJ,Role__c,Primary Owner,equals,a0UD300000PF4UxMAL,a0UD300000PF4UxMAL,a0VD300000L2vKcMAJ,A-17
a0VD300000L2vKdMAJ,FinancialAccount__r.HeldAway__c,false,equals,a0UD300000PF4UyMAL,a0UD300000PF4UyMAL,a0VD300000L2vKdMAJ,A-18
a0VD300000L2vKeMAJ,Role__c,Joint Owner,equals,a0UD300000PF4UyMAL,a0UD300000PF4UyMAL,a0VD300000L2vKeMAJ,A-19
a0VD300000L2vKfMAJ,FinancialAccount__r.HeldAway__c,false,equals,a0UD300000PF4UzMAL,a0UD300000PF4UzMAL,a0VD300000L2vKfMAJ,A-20
a0VD300000L2vKgMAJ,Role__c,Primary Owner,equals,a0UD300000PF4UzMAL,a0UD300000PF4UzMAL,a0VD300000L2vKgMAJ,A-21
a0VD300000L2vKhMAJ,Role__c,Joint Owner,equals,a0UD300000PF4V0MAL,a0UD300000PF4V0MAL,a0VD300000L2vKhMAJ,A-22
a0VD300000L2vKiMAJ,Role__c,Primary Owner,equals,a0UD300000PF4V1MAL,a0UD300000PF4V1MAL,a0VD300000L2vKiMAJ,A-23
a0VD300000L2vKjMAJ,Role__c,Joint Owner,equals,a0UD300000PF4V2MAL,a0UD300000PF4V2MAL,a0VD300000L2vKjMAJ,A-24
a0VD300000L2vKkMAJ,FinancialAccount__r.RecordTypeName__c,Insurance Policy,equals,a0UD300000PF4V2MAL,a0UD300000PF4V2MAL,a0VD300000L2vKkMAJ,A-25
a0VD300000L2vKlMAJ,Role__c,Primary Owner,equals,a0UD300000PF4V3MAL,a0UD300000PF4V3MAL,a0VD300000L2vKlMAJ,A-26
a0VD300000L2vKmMAJ,FinancialAccount__r.RecordTypeName__c,Insurance Policy,equals,a0UD300000PF4V3MAL,a0UD300000PF4V3MAL,a0VD300000L2vKmMAJ,A-27
a0VD300000L2vKnMAJ,Role__c,Joint Owner,equals,a0UD300000PF4V4MAL,a0UD300000PF4V4MAL,a0VD300000L2vKnMAJ,A-28
a0VD300000L2vKoMAJ,FinancialAccount__r.RecordTypeName__c,Investment Account,equals,a0UD300000PF4V4MAL,a0UD300000PF4V4MAL,a0VD300000L2vKoMAJ,A-29
a0VD300000L2vKpMAJ,Role__c,Primary Owner,equals,a0UD300000PF4V5MAL,a0UD300000PF4V5MAL,a0VD300000L2vKpMAJ,A-30
a0VD300000L2vKqMAJ,FinancialAccount__r.RecordTypeName__c,Investment Account,equals,a0UD300000PF4V5MAL,a0UD300000PF4V5MAL,a0VD300000L2vKqMAJ,A-31
a0VD300000L2vKrMAJ,FinancialAccount__r.Managed__c,true,equals,a0UD300000PF4V6MAL,a0UD300000PF4V6MAL,a0VD300000L2vKrMAJ,A-32
a0VD300000L2vKsMAJ,Role__c,Joint Owner,equals,a0UD300000PF4V6MAL,a0UD300000PF4V6MAL,a0VD300000L2vKsMAJ,A-33
a0VD300000L2vKtMAJ,FinancialAccount__r.RecordTypeName__c,Investment Account,equals,a0UD300000PF4V6MAL,a0UD300000PF4V6MAL,a0VD300000L2vKtMAJ,A-34
a0VD300000L2vKuMAJ,FinancialAccount__r.Managed__c,true,equals,a0UD300000PF4V7MAL,a0UD300000PF4V7MAL,a0VD300000L2vKuMAJ,A-35
a0VD300000L2vKvMAJ,Role__c,Primary Owner,equals,a0UD300000PF4V7MAL,a0UD300000PF4V7MAL,a0VD300000L2vKvMAJ,A-36
a0VD300000L2vKwMAJ,FinancialAccount__r.RecordTypeName__c,Investment Account,equals,a0UD300000PF4V7MAL,a0UD300000PF4V7MAL,a0VD300000L2vKwMAJ,A-37
a0VD300000L2vKzMAJ,RecordType,"BankingAccount,CheckingAccount,SavingsAccount",IN,a0UD300000PF4VAMA1,a0UD300000PF4VAMA1,a0VD300000L2vKzMAJ,A-40
a0VD300000L2vL2MAJ,HeldAway__c,false,equals,a0UD300000PF4VFMA1,a0UD300000PF4VFMA1,a0VD300000L2vL2MAJ,A-43
a0VD300000L2vL4MAJ,Managed__c,true,equals,a0UD300000PF4VUMA1,a0UD300000PF4VUMA1,a0VD300000L2vL4MAJ,A-45
